,message,label,split,clean_message
381,"И да, этот лохотронщик блочит всех вместо аргуметов. Серьёзные люди приводят факты и аргументы, а не занимается копирайством",True,train,лохотронщик блочить вместо аргумёт серь зный человек приводить факт аргумент заниматься копирайство
382,"Сегодня, чувствую, будет день смеха над тупорылыми лонгистами",True,train,сегодня чувствовать день смех тупорылый лонгист
383,"Что за пиздоболы ебаные пишут, заебали бляди",True,train,пиздобол ёбаный писать заебали блядь
388,"поэтому и злой, алкаш просто",True,train,поэтому злой алкаш просто
389,По ходу и не завтра. Дебилы бл#роскомнадзор,True,train,ход завтра дебил бл роскомнадзор
392,И тут тупенькие русачки мне высерают своё мнение,True,train,тупенький русачка высерать сво мнение
393,"господа, удушите этих гадов уже",True,valid,господин удушить этот гад
394,"какие-то бомжи, как и газпром в целом.",True,train,какой бомж газпром целое
395,Цыган ебучий,True,train,цыган ебучий
397,"бегите, глупцы!",True,train,бежать глупец
398,"было бы правильно, если бы ты открывала свое вонючее сосало, только делая минет за три рубля",True,train,правильно открывать свой вонючий сосать делать минуть рубль
400,На наших горящих пуканах,True,train,наш гореть пукан
401,Еще один МММ лохов ищет,True,train,ммм лох искать
404,"Это что, гипноз для убейидиотовых?",True,valid,это гипноз убейидиотовый
406,"Ну все, под этой эгидой придет пиздец",True,train,эгида прийти пиздец
407,Бесите суки... Чота выебаются... А сами что.. Дааже жизни не нюхали,True,train,бесить сука чот выебаяться сам даажа жизнь нюхать
412,Не слушай этих мудаков. Вроде никак. Они по стандарту стоят там,True,train,слушать этот мудак вроде никак стандарт стоять
416,Шакалы оч бесят,True,train,шакал оч бесить
417,"Короче, одни дегенераты наблюдают за другими дегенератами, при этом почему-то думая, что они умнее. ?",True,train,короче один дегенерат наблюдать другой дегенерат почему думать умный
426,"Вася это иплан, со своей кучей  хомячков, уверяю вас думайте своей головой, и не в коем случае не повторяйте за ним",True,valid,вася это иплан свой куча хомячок уверять думать свой голова кой случай повторять
427,Гомосеки долбанные.,True,train,гомосечь долбать
428,"тинек это сброд долбоебов, я убежал отсюда в минус 100000 руб. 5000 р. Положил и обратно вывел сразу и уже налог 1500 рублей, пиздец.",True,train,тинька это сброд долбоебова убежать отсюда минус руб р положить обратно вывести сразу налог рубль пиздец
431,Куколд губастый звонил,True,train,куколд губастый звонить
433,Он с телеги спиздил,True,valid,телега спиздить
434,Да и хер с ним.,True,valid,хер
435,"нас возят еб**том об асфальт больше месяца, а вы тут категориями плохо-хорошо рассуждаете)) ну лан, каждый в своём маня-мирке живет)",True,train,возить еб асфальт месяц категория плохо рассуждать лан каждый сво м маня мирок жить
438,БАНКИРЫ ПИДОРАСЫ,True,train,банкир пидорас
440,"Пересчитают и наеобманут, скажут приложение тупило?",True,train,пересчитать наеобмануть сказать приложение тупить
441,Щас уже не найдёшь этого швиздабола ?,True,train,сейчас найда шь швиздабола
444,"Я не понимаю, кто из нас тупой,",True,train,понимать тупой
455,очередная тупорылая спамит анал очередного лоховода. Когды ж вы сдохнете.,True,valid,очередной тупорылый спамит анал очередной лоховод когда сдохнуть
456,"как таких как ты пульс носит, петушок-золотой гребешок?)",True,train,такой пульс носить петушок золотой гребешок
457,"Даа, мозгов у местных дегенератов маловато, погибших людей в прикол вспоминать",True,train,даа мозг местный дегенерат маловатый погибнуть человек прикол вспоминать
458,Мы путина слушаем. А он уже давно говна в рот набрал.,True,train,путин слушать давно говно рот набрать
459,Я х.з. как ты так лосей набрал ?,True,valid,х з лось набрать
462,"Чтобы она стала стописят, надо найти идиота, который её за это продаст",True,train,стать стописеть найти идиот который быть это продать
466,Реальные дебилы.,True,train,реальный дебил
467,твои родные в подвалах обитают. Ты позор родителей. Трусливый с левой орентацией?,True,train,твой родный подвал обитать позор родитель трусливый левый орентация
471,"О, а вот и русское быдло показалось",True,valid,русский быдло показаться
472,"тебя забанить надо, за пал ты со своим настроением. Выглядишь как г но. Хотя оно не тонет, но воняет.",True,valid,забанить пасть свой настроение выглядеть г хотя оно тонуть вонять
474,Пахнет пизде..om,True,train,пахнуть пизда om
480,Даже сука Байден уже привился этим конченым пфайзером а он все падает,True,train,сука байден привиться это конченый пфайзер падать
481,Ахахахах блять,True,train,ахахахи блядь
482,Контора-убийца,True,train,контора убийца
485,Блогеры херовы,True,train,блогер херов
486,ты ватноголовый кремлеблядь,True,train,ватноголовый кремлеблядь
490,"Эй йоу, сука. Кто из нас настоящий?",True,train,эй йоу сука настоящий
496,"ПУТИН-ЛУЧШИЙ, но слишком мягкий. Пора всю мразь прозаподную и пропиндосную к ногтю.",True,train,путин хороший слишком мягкий пора мразь прозаподный пропиндосный ноготь
497,А чё за гомосек у этого Андрея на аватарке?,True,train,ч гомосечь андрей аватарка
498,чтоб ты  сдохла Падла,True,train,сдохнуть падло
499,"затухнул тут только ты пока, дурачок.",True,train,затухнуть пока дурачок
500,"О,вас тупорылых,и тут навалом....странно,вроде всё бабло ему отдаёте,так ещё и сюда хватает.",True,train,тупорылый навалом странно вроде вс бабло отд тот ещ сюда хватать
505,Старые маразматики и параноики! ?? путь к железному занавесу проложен! Идиоты.,True,train,старый маразматик параноик путь железный занавес проложить идиот
509,"узкомыслящее быдло без чувства юмора и иронии) я заканчиваю этот глупый диалог, начатый тобой",True,train,узкомыслящий быдло чувство юмор ирония заканчивать глупый диалог начать ты
513,"Такой цены, пустозвон, не было с момента твоей рекомендации и по настоящее время.",True,train,цена пустозвон момент твой рекомендация настоящий время
514,Пустозвон.,True,valid,пустозвон
516,Сказать его же словами: Дебил бл....,True,valid,сказать слово дебил бл
517,не правильно поставлен вопрос. Ты в уши любишь ссать стоя или сидя?,True,train,правильно поставить вопрос ухо любить ссать стоя сидя
519,Как же эти уроды достали!!!,True,train,урод достать
521,"взлетай Мразь, сиповка тухлодырая",True,train,взлетать мразь сиповка тухлодырать
524,Он зае... уже,True,train,зае
527,"Вы такие пиз**болы, занимающиеся непонятно чем и главное непонятно зачем, извергающие глупые фразы. Хотя зачем судить слабых людишек, ведь только сильные стараются помогать слабым. Но вы не переживайте, все будет хорошо, несмотря на вашу никчемность",True,valid,такой пиз бола заниматься непонятно главное непонятно извергать глупый фраза хотя судить слабый людишки сильный стараться помогать слабый переживать несмотря ваш никчёмность
529,"Вот на кой вы гадите в ленту, засранцы малолетние? Заходишь почитать что-нибудь интересненькое, а натыкаешься на всякое говно",True,train,кой гадить лента засранец малолетний заходить почитать интересненький натыкаться всякий говно
530,Отскочит в минус. Питушарская контора бабки с нас гребёт в калуге,True,train,отскочить минус питушарский контора бабка грести так калуга
531,Хрена ты финансовый воротила... 4$!,True,train,хрен финансовый воротить
534,Дибил мразотный других слов нет. Выведи бабки купи помидоров. БАРАН блять,True,train,дибить мразотный другой слово вывести бабка купить помидор баран блядь
538,"если вернется к 250, продам это говно, нет толку от национального достояния для простых людей",True,train,вернуться продать это говно толк национальный достояние простой человек
540,"поскачи еще, кастрюлеголовый",True,train,поскакать кастрюлеголовый
544,Идите нах. Р со своими ссылками на всяких обдолбанных блогерах.,True,train,идти нах р свой ссылка всякий обдолбать блогер
546,Кто тупую пизду без мозгов  на биржу пустил?,True,train,тупой пизда мозг биржа пустить
547,"Бля, а как же суды?",True,train,бля суд
549,Экологасты хреновы,True,train,экологаста хреновый
552,"балбес потому что ты. Главное сказать что то, а что не важно.",True,train,балбес главное сказать важно
554,"свои посты почитай, я такого бреда даже от пожилых маразматиков ну слышал. Тебе надо счёт закрыть принудительно в банке, ибо ты недееспособный, судя по мыслям)",True,train,свой пост почитай такой бред пожилой маразматик слышать ты сч так закрыть принудительно банк ибо недееспособный судить мысль
555,"крос , а я на дебиков в коментах понадеялся ... что ж теперь ...",True,train,кроса дебиковы комент понадеяться
556,Как эту хуету забанить,True,train,хует забанить
559,"какую дичь? Ты чепуха что ли, общаться так? Галимый чертило без роду и образования, с единственными 60 тысячами на кармане",True,train,какой дичь чепуха общаться галить чертить род образование единственный тысяча карман
560,"Да у нас попы или педофилы, или пи...сы, а ещё вымогатели. Номер карты он скинул , чёрт дырявый.",True,train,поп педофил пи сы ещ вымогатель номер карта скинуть ч рт дырявый
561,"Меня никак не задевают твои помои, они остаются у тебя и ты тонешь в них, строитель нумизмат и инвестор.",True,valid,никак задевать твой помои оставаться тонуть строитель нумизмат инвестор
563,Да говнюки там что-то мутят,True,train,говнюк мутить
564,"Да  з*ебали уже с этим короновирусом. От рака и ВИЧ дохнут больше чем от короны. А тут один шум, вони на целый мир! Как сумасшедшие с повязками ходят, как в дурдоме. Зла не хватает...",True,train,з ебали это короновирус рак вич дохнуть корона шум вонь целый мир сумасшедший повязка ходить дурдом зло хватать
565,"Пеши истчо, уродец!",True,train,пеший истчо уродец
566,Вот ж веть хитрая сцука)),True,train,веть хитрый сцук
567,Это пиздец полный.,True,train,это пиздец полный
573,"Ушел, сцука корровская",True,valid,уйти сцук корровский
574,Откуда столько этих дебилов развелось,True,train,откуда столько этот дебил развестись
576,Пиздец просто рушится,True,train,пиздец просто рушиться
590,"Это ватник тупой, пригревший жопу свою у кормушки, что вы с ним спорите?",True,train,это ватник тупой пригреть жопа кормушка спороть
591,ты К. К АНАл а,True,train,анал
592,ну вот я тебе могу предложить встретится и в лицо мне это сказать. Но ты же гнилой урод сьедешь же,True,valid,ты мочь предложить встретиться лицо это сказать гнилой урод сьехать
597,херня зарплата на перечисленных предприятиях,True,train,херня зарплата перечисленный предприятие
599,Достал спамить мудила,True,valid,достать спамить мудила
601,МММ ищет новых лохов.,True,train,ммм искать новый лох
610,Су*ки обиженки хреновы. Своё эго выше чем Здоровье населения,True,train,су ки обижёнка хреновый сво эго выше здоровье население
612,"Бесят нытики, всезнайки... ракетчики, попрошайки...советчики, незнайки...и прочие повторяйки! И похвальбушки, и паникёры... и с 2мя акциями, и мажоры... И РИГоманы, и Тесложоры... И Фуньтики, и Ляльки... и школьники, и дядьки... Комарики на воздушном шарике и жаба на метле!...  Вместе с Чуковским, походе, сижу на конопле",True,train,бесить нытик всезнайка ракетчик попрошайка советчик незнайка прочий повторяйка похвальбушка паника ры мя акция мажор ригоман тесложор фуньтик лялька школьник дядька комарик воздушный шарик жаба метла вместе чуковский поход сидеть конопля
613,Половина пульса поддерживают Путина. Вора у вероятного убийцу????,True,train,половина пульс поддерживать путин вор вероятный убийца
614,"Людей избивпющих исполняющих свой долг гаишников и других наших   правоохранителей,параллельно угрожающих жизням членов из семей ты называешь мирняком?))",True,valid,человек избивпть исполнять свой долг гаишник другой наш правоохранитель параллельно угрожать жизнь член семья называть мирняк
615,Предлоагаю отписаться от этого Ган...на,True,train,предлоагай отписаться ган
620,Наших придурков не так и много,True,train,наш придурок
621,Пошли вон отсюда упыри,True,train,послать вон отсюда упырь
623,Как заеб эти попрошайки,True,train,заести попрошайка
624,Пидоры,True,train,пидор
626,Тупица один),True,train,тупица
628,Че главного имбицила заблочили??,True,valid,че главное имбицил заблочили
629,"Быдлятина токсичная, в бан пожизненно",True,train,быдлятина токсичный бан пожизненно
638,Если уж письками меряться то 2019 у тебя так себе мягко говоря,True,valid,писька меряться мягко говорить
639,Только русские такие злые собаки,True,valid,русский такой злой собака
643,"ну нормальные люди с него и его движа угорают,ограниченные верят,а псевдопатриоты из КрасноБелого алкомаркета,разрывают куканы и брызжут слюнями за кремлеботов ?",True,train,нормальный человек движ угорать ограниченный верить псевдопатриот краснобелый алкомаркет разрывать кукан брызгать слюни кремлебот
648,момо у тебя г...я бы слил и искал халяву которая вернется на место+50%,True,train,момый г слить искать халява который вернуться место
651,Ну что долбое*бы с сигналами уже закончились. Антипрививочники вошли в чат,True,train,долбой сигнал закончиться антипрививочник войти чат
652,Я думаю тут не ссыкуны. Ссыкуны уже смотрят тв с закрытой позицией. Тут знатный слив.,True,valid,думать ссыкун ссыкун смотреть тв закрытый позиция знатный слив
653,"Дебилы. Прочитайте свое условие. Где все уроды работают? - описанные вами. Может такое и быть, что семилетний ребенок не в курсе, что такое ИИС, но он же родился не в вакууме.  Тот кто придумал сей опус якорь в жопу и на морду - маску молчания.",True,valid,дебил прочитать свой условие урод работать описать вы такой семилетний ребёнок курс такой иис родиться вакуум придумать сей опус якорь жопа морда маска молчание
654,Windows phone - гавно,True,train,windows phone гавный
659,"тыкни собаке в анус, подросток",True,valid,тыкнуть собака анус подросток
662,"Сейчас наберут народ, и тоже на низах заставят зарезать",True,valid,набрать народ низ заставить зарезать
663,"ХУЯМИ ИХ ТОЛЬКО ЧТО ОБЛОЖИЛА, ПИДОРАСОВ!!! ПУСТЬ БАНЯТ, ГАНДОНЫ!!!",True,valid,хуй обложить пидорас пусть банить гандон
667,Видимо пизд еж,True,train,видимо пизда ёж
669,так выше же и пишут что тесла выкупают свои акции на падении чтобы удержать цену в районе 760 -770 как и зачаленная цена новых акций просто по факту ей цена 240-270 а лохи скупают по 760 так чего бы и новые акции не загнать по такой цене,True,train,выше писать тесло выкупать свой акция падение удержать цена район зачалить цена новый акция просто факт цена лох скупать новый акция загнать цена
673,"Старый педофил, сатанист и маразматик????? Уж лучше Трамп",True,train,старый педофил сатанист маразматик трамп
674,Нельзя быть таким чмошником,True,train,такой чмошник
675,"Ну вот откуда такая уверенность, что ковбои по вашему дебилы чтоб дененг не заработать, сначала вниз потом откуп потихой",True,valid,откуда такой уверенность ковбой ваш дебил дененг заработать сначала вниз откуп потихий
676,Така же хня...чуть подзаработаешь и в какой нибудь блудняк впишешься...потом сидишь ждёшь когда отрастет,True,valid,така хня подзаработать блудняк вписаться сидеть жд шь отрасти
677,Убейте какулу кто-нибудь,True,train,убить какула
679,Долбо бина,True,train,долбо бин
681,да хуйню он ляпнул,True,train,хуйня ляпнуть
689,"Да забаньте уже этого дауна, везде он со своими сраными ставками, задолбал уже",True,train,забанить даун везде свой сраный ставка задолбать
690,"откуда подобные тебе вообще берутся? За собой лучше последил бы. Дурачком себя показываешь только, не более",True,valid,откуда подобный ты вообще браться себя последить дурачок показывать
693,"Чесапикчер, где ты был?",True,train,чесапикчер
699,И зачпокали с ней дочь ?,True,train,зачпокалить дочь
701,Как баба,True,train,баба
702,Вот гавнарь,True,train,гавнарь
704,"придурок это ты , и дрочер тупорылый, а я могу себе это позволить, у меня есть свободные денежные средства и я вправе ими распоряжаться как считаю нужным. А у тебя их нет, потому что ты неудачник и лентяй, можешь с дивана только на кнопочки нажимать и ядом всех поливать???",True,train,придурок это дрочёр тупорылый мочь это позволить свободный денежный средство вправе они распоряжаться считать нужный неудачник лентяй мочь диван кнопочка нажимать яд поливать
706,Капец. Кремлеботы даже тут.,True,valid,капец кремлёбот
707,безкультурное быдло,True,train,безкультурный быдло
708,"да я для забавы ради написал, народ тупой и стеба не понимает",True,train,забава ради написать народ тупой стёб понимать
710,"пхахахахахах ты тупой , не пиши плз . ",True,train,пхахахахах тупой писать плз
712,"ну ты и гамадрил) я с Москвы, везде вам путинистам неудачникам хохлы мерещатся)",True,train,гамадрил москва везде путинист неудачник хохол мерещиться
715,нахера ты тут пропагандой занимаешься любитель сша,True,valid,нахер пропаганда заниматься любитель сша
716,чтоб они там сдохли.. гниды) Двадцать ковидов им в печень,True,train,сдохнуть гнида двадцать ковид печень
717,"Пока сколько видел, тут кукан злой дядька, чем лучше новости тем ниже летим",True,train,пока сколько видеть кукан злой дядька новость ниже лететь
718,Каким тупым надо быть чтобы такую хуйню спрашивать?,True,train,какой тупой такой хуйня спрашивать
719,"Да ахуенно дела, ущербная ты свинота, посидел с тобой с 3$  в  , ну че сам я  виноват. Но какого ты х... лезешь к другим акционерам  ,  , обосрался во фронте, ну сиди себе во фроне, нет бл., ЧСВ не даёт покоя.",True,train,ахуенно дело ущербный свинота посидеть ты че виноватый какой х лезть другой акционер обосраться фронт сидеть фрон бл чсв так покой
722,сиськи это сука признак,True,train,сиська это сука признак
723,"а ты обманщик и это факт и все твои прогнозы это лажа полная, а пдписчики твои либо дураки, либо фикция, надо там людям зарегаться открыть глаза то же",True,train,обманщик это факт твой прогноз это лажа полный пдписчик твой либо дурак либо фикция человек зарегаться открыть глаз
727,"Ну что, сосунки-хомяки облизали?",True,train,сосунок хомяк облизать
730,"збс, а теперь ты весь пульс дерьмом поливаешь...",True,valid,збс весь пульс дерьмо поливать
731,А на хрена? Здесь то выгодней. Нал держите под подушкой,True,train,хрен выгодный нал держать подушка
732,На кукане сидят,True,train,кукан сидеть
733,Сказочный пиздабол,True,train,сказочный пиздабол
734,Да пиздабол очередной,True,valid,пиздабол очередной
736,херня,True,train,херня
739,Что за инфоцыганское нашествие,True,train,инфоцыганский нашествие
745,"Вообще, похоже на пипиську",True,train,вообще похоже пиписька
746,Пидоры они.,True,train,пидор
749,Там пизда,True,train,пизда
750,"у меня не тут основные  инвестиции, петушок ты. Ко-ко-ко, раскудахтался",True,train,основной инвестиция петушок к к к раскудахтаться
751,Я такая же хуйня,True,train,такой хуйня
754,"ага, такие долдоны",True,train,ага такой долдон
755,Пульс дебилы,True,train,пульс дебил
759,"Да и хер с ними, дебилы",True,valid,хер они дебил
760,в печь плешивое животное,True,train,печь плешивый животное
762,"ты только что оказал мне огромную услугу - показал какой ты идиот? ну как может быть убыток более 100%????? по акциям? это сбой Тинькоф, а тебе ещё крайне рано на фондовый рынок",True,train,оказать огромный услуга показать идиот убыток акция это сбой тинькоф ты ещ крайне рано фондовый рынок
763,Ну счас поднимут что бы пендосовские хомяки в ноль вышли,True,train,счас поднять пендосовский хомяк ноль выйти
764,"Но тебе уроду этого не понять. Ты же привык жить на подсказках, дурилка?",True,train,ты урод понять привыкнуть жить подсказка дурилка
765,Это и отличает нормальных людей от быдла,True,train,это отличать нормальный человек быдло
766,Жалобу кидайте на дурака этого,True,train,жалоба кидать дурак
768,Панин собакоепп,True,valid,панин собакоепп
771,"Господи, разводилы тупеют и тупеют",True,valid,господь разводил тупеть тупеть
772,Задолбали наркоманы...,True,train,задолбать наркоман
773,"Дохлятина, а дразницца.",True,train,дохлятина дразницца
774,По кочану. Заебала своими постами!!!,True,train,кочан заебал свой пост
779,Чел на картинке как будто извращенец который голышом говном обмазывается и кайфует,True,train,чел картинка извращенец который голышом говно обмазываться кайфовать
780,"у вас спама и бестолковых сообщений больше, чем у меня. Может, обгоню потом. Вы такое же зло и пустомеля, как и я.",True,train,спам бестолковый сообщение обогнать такой зло пустомеля
781,Как отправить в бан подобных чертомонов?,True,valid,отправить бан подобный чертомон
782,Этого ушлепка когда нибудь кинут в бан?,True,train,ушлепок кинуть бан
784,Лучше сказать у долбаёбов,True,train,сказать долоб бова
785,"клоун и не более. Только идиот как ты портфель держит в пабе, люди по умнее на иис, т.к он скрыт",True,train,клоун идиот портфель держать паб человек умный иис так скрытый
786,Для этих людей отдельное место в аду,True,valid,этот человек отдельный место ад
788,ХОХЛЫ КАК ВСЕГДА В ЗАДНИЦЕ,True,train,хохол задница
791,"и сколько быдла наберется типа тебя со словами - ху, пи,ж,х и тд ?",True,valid,сколько быдло набраться тип слово ху пи х тд
793,"это морган стенди шалупонь подзаборный, грязь из под ногтей, никто его не собирается слушать",True,train,это морган стенди шалупонить подзаборный грязь ноготь никто собираться слушать
795,Тинькофские подлизалы выползли,True,train,тинькофский подлизал выползти
797,"зачем с либерастами, предателями и дебилами жить дружно? Их надо: либерастов презирать, предателей и нарушающих закон - сажать, дебилов перевоспитывать или в дурдом.",True,valid,либераст предатель дебил жить дружно либераст презирать предатель нарушать закон сажать дебил перевоспитывать дурд
798,Ты когда смотришь чужой аккаунт очки одевай и не путай .. пустослов,True,train,смотреть чужой аккаунт очки одевать путать пустослов
800,нефиг людей тянуть в это дерьмо,True,train,нефига человек тянуть это дерьмо
810,"Надо было псину, что на аватарке не Лизой назвать, а Зиной?, одни убытки от этой сучки?",True,train,псина аватарка лиза назвать зина один убыток сучка
812,"дауненок, новости вышли после того как твой рот открылся назыаьь какие то цифры. Ты даже не знаешь на чем упали, о чем говорить. Мы упали если че не из-за ИСТОРИЧЕСКИХ МИНИМУМОВ, а из-за того, что кредиторы не дали денег на покрытие штрафа. Твоя щель открылась в час-три дня, а ответ последовал в 17 00, даже позже. Какие исторические минимумы и какой крах фонда, у тебя шизофрения развивается.",True,train,дауненка новость выйти твой рот открыться назыаьь какой цифра знать упасть говорить упасть че исторический минимум кредитор дать деньга покрытие штраф твой щель открыться час день ответ последовать поздний какой исторический минимум крах фонд шизофрения развиваться
816,"ты просто тупой люмпен,грязь, вышел из нижнего класса, который просто обзывается, показывает свою культуру , и не можешь привести ни одного довода в пользу своего аргумента",True,train,просто тупой люмпен грязь выйти нижний класс который просто обзываться показывать культура мочь привести один довод польза свой аргумент
817,"Да, вчера последним дуракам на хаях раздали и вниз теперь едем?",True,train,вчера последний дурак хая раздать вниз ехать
819,Смерть еретикам! Сжечь ксеносов!,True,train,смерть еретик сжечь ксеносов
821,"Сдохни, мразь тупая",True,train,сдохнуть мразь тупой
824,"Всем давно на всё плевать. Вокруг одни самовлюблённые инфантилы, которые грезят мыслью, что их инфовысер кому-то нужен. Хотя стоп, есть же категория наивных лохов, которые чистосердечно благодарят инфоцыган за их работу и свято верят в безвозмездное просвещение толпы. В комментариях так и пишут, мол спасибо за просвещение. Чудны крестьянские дети, конечно.",True,train,весь давно вс плевать вокруг один самовлюбла нный инфантил который грезить мысль инфовысер кто нужный хотя стоп категория наивный лох который чистосердечно благодарить инфоцыган работа святой верить безвозмездный просвещение толпа комментарий писать мол спасибо просвещение чудной крестьянский ребёнок
826,Пиздабол малолетний..,True,train,пиздабол малолетний
827,И тут чертята пыни плешивого чалятся. При открытии основной сессии видно будет. Сейчас ЦБ сливает баксы активно.,True,train,чертёнок пыня плешивый чалиться открытие основной сессия видно цб сливать бакс активно
829,пидарасов дохуя на районе стало,True,train,пидарас дохуй район стать
831,Пошли нахуй,True,train,послать нахуй
833,"Береги себя, не кашляй. Пованивает...",True,train,беречь кашлять пованивать
835,"Я не понимаю, почему этот прыщавый мамкин сопляк еще не заблокирован. Жалобы отправлены, ублюдок еще здесь",True,train,понимать почему прыщавый мамкин сопляк заблокировать жалоба отправить ублюдок
837,"ты - баба с фоткой акулы. Тебя никто не оскорбляет. Меньше пафоса, павлин.",True,train,баба фотка акула никто оскорблять маленький пафос павлин
842,"Зачем человеку зла желаете? Он такой же лошара каки мы все. Касячим, как умеем. Пусть все живут долго и счастливо)",True,train,человек зло желать лошара каки касячать уметь пусть жить долго счастливо
844,"Здохни, за...ал",True,train,здохнуть ала
850,Пустозвон. Ещё и обмануть норовишь,True,train,пустозвон ещ обмануть норовить
855,В пизду,True,valid,пизда
857,"тявкай дальше с поводка, беспомощное быдло)",True,train,тявкать далёкий поводок беспомощный быдло
860,"фуу, что за извращенцы-спе*матоксикозники тут собрались ?",True,valid,фуу извращенец спе матоксикозник собраться
861,"Иваныч ну какие они подлизалы, это выползли ПЕТУШАРЫ. Больше тебе скажу я на днях когда засыпал службу поддержки сообщениями что они не правомерно продали якобы по маржинколу часть акций мне кредитный договор расторгли в одностороннем порядке без объяснения причин",True,valid,иванович какой подлизал это выползти петушара ты сказать день засыпать служба поддержка сообщение правомерно продать якобы маржинкол часть акция кредитный договор расторгнуть односторонний порядок объяснение причина
862,Пизда им,True,train,пизда
867,Питуха обидели ккоокококо,True,valid,питух обидеть ккоокококо
870,Школота идёт нах,True,train,школотый ида так нах
872,"Ага, сейчас лошары так и признаются что Лёша пи...бол",True,train,ага лошара признаваться л ша пи бол
873,"Прикольно. Под быдло косите, но вы палитесь, запятые расставляете. Быдло так не может.",True,train,прикольно быдло косить палиться запятая расставлять быдло
876,"у тебя какие-то проблемы по части ЛГБТ сообщества?????? поразмышляй, может ты латентный ;)и спасай быстрей свою 10ку.",True,train,какой проблема часть лгбт сообщество поразмышлять латентный спасать быстрый ку
878,"Эта мразь тут всех кормит, потише",True,train,этот мразь кормить тихий
881,тут нефть вообще не причем нахер ты сюда пишешь,True,train,нефть вообще причём нахер сюда писать
